"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","472","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Алтайский край"" должен показать не пустой список","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","38","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ненецкий автономный округ"" должен показать не пустой список","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","13","Переключение языка (RU -> EN, EN -> RU)","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","switchLocaleTest"
"","32","В боковом меню 6 общих ссылок работают При клике на ""О сайте"" переходит на cbr.ru/about","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","29","В боковом меню 6 общих ссылок работают При клике на ""Карта сайта"" переходит на cbr.ru/sitemap","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","30","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Все"" должен показать не пустой список","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","31","Проверка номеров телефонов в футере Телефон 8 800 300-30-00 есть","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","33","В боковом меню 6 общих ссылок работают При клике на ""Решения Банка России"" переходит на cbr.ru/rbr","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","28","Поиск организаций по неполному названию Запрос ""Петрокоммерц"" должен найти компанию ОАО Банк ""Петрокоммерц"" (ИНН/ОГРН 7707284568/1027739340584). Статус - Не действует","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","37","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""Ярославская область"" должен показать не пустой список","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","25","Проверка номеров телефонов в футере Телефон +7 499 300-30-00 есть","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","35","В боковом меню 6 общих ссылок работают При клике на ""Новости"" переходит на cbr.ru/news","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","37","Поиск организаций типа ""Бюро кредитных историй"" со статусом вида деятельности ""Не действует"" должен показать не пустой список","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByStatusTest"
"","20","Поиск по региону организаций типа ""Микрофинансовые организации"" со статусом ""Действует"" , по региону ""город Москва"" должен показать не пустой список","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","searchFinOrgWithFilterByRegionTest"
"","34","Проверка заголовков верхнего уровня","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка страницы ""Карта сайта""","ru.cbr.tests.SiteMapTests","mainGroupsTest"
"","26","Поиск организаций по неполному названию Запрос ""Альфа-Банк"" должен найти компанию АО ""АЛЬФА-БАНК"" (ИНН/ОГРН 7728168971/1027700067328). Статус - Действует","","Thu Dec 12 15:01:25 GMT 2024","broken","Thu Dec 12 15:01:25 GMT 2024","","Поиск организаций, участников финансового рынка","ru.cbr.tests.FinOrgTests","checkByPartialNameOfTheOrganizationTest"
"","22","Проверка номеров телефонов в футере Телефон 300 есть","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка футера сайта (нижний блок)","ru.cbr.tests.FooterBlockTests","footerPhoneNumberTest"
"","32","В боковом меню 6 общих ссылок работают При клике на ""Меры защиты финансового рынка"" переходит на cbr.ru/support_measures","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
"","17","Логотип кликабельный","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка шапки сайта (верхний блок)","ru.cbr.tests.HeaderBlockTests","checkClickableLogoTest"
"","28","В боковом меню 6 общих ссылок работают При клике на ""Контактная информация"" переходит на cbr.ru/contacts","","Thu Dec 12 15:01:26 GMT 2024","broken","Thu Dec 12 15:01:26 GMT 2024","","Проверка бокового меню","ru.cbr.tests.OffsetMenuTests","offsetMenuQuickLinksTest"
